"Date","Candidates","NewsDesk","Category","Headline","SentScore(headline)","SentScore(snippet)","SentScore(lead)","SentScore(avg)","Count"
"2018-12-05","Bloomberg","politics","politics","Bloomberg, Focusing on Climate Change, Says He Would Battle the Coal Industry",-0.38,0.0,-100,-0.19,934
"2018-12-06","Warren","politics","politics","Elizabeth Warren Stands by DNA Test. But Around Her, Worries Abound.",-0.57,0.0,-100,-0.29,1790
"2018-12-08","Biden","oped","opinion","I Like Joe Biden. I Urge Him Not to Run. ",0.36,0.0,-100,0.18,1265
"2018-12-10","Bloomberg","metro","other","Former Bloomberg Executives to Be Charged in Construction Fraud Scheme",-0.68,-0.84,-100,-0.76,1079
"2018-12-12","Bloomberg","metro","other","Cash ‘Sandwiches’: ‘Brazen’ Fraud by Bloomberg Executives Is Detailed in Charges",-0.71,-0.49,-100,-0.6,776
"2018-12-14","Warren","u.s. / politics","politics","‘It’s Time to Change the Rules,’ Warren Tells Graduates in Speech on Racism",-0.62,0.57,-100,-0.03,94
"2018-12-14","Warren","politics","politics","Elizabeth Warren, Speaking to Black Graduates, Warns ‘the Rules Are Rigged’",-0.1,0.3,-100,0.1,832
"2018-12-14","Biden","style","other","Joe Biden, Shailene Woodley and Andie MacDowell at Conservation International Gala",0.0,0.38,-100,0.19,15
"2018-12-19","Biden","oped","opinion","Why Biden, Bernie and Beto Shouldn’t Get Cocky ",-0.13,0.23,-100,0.05,1056
"2018-12-20","Warren","oped","opinion","Elizabeth Warren, Trumpian of the Left",0.0,0.08,-100,0.04,907
"2018-12-27","Sanders","politics","politics","For Bernie Sanders, Holding Onto Support May Be Hard in a 2020 Bid",0.32,0.0,-100,0.16,1575
"2018-12-29","Warren","politics","politics","Kamala Harris, Elizabeth Warren and Other Democrats Shift Into High Gear for 2020",0.0,0.0,-100,0.0,1745
"2018-12-31","Warren","u.s. / politics","politics","Elizabeth Warren vs. Donald Trump: A Blow-by-Blow History",0.0,-0.18,-100,-0.09,406
"2018-12-31","Warren","politics","politics","Elizabeth Warren Announces Iowa Trip as She Starts Running for President in 2020",0.0,0.0,-100,0.0,1956
"2018-12-31","Warren","nytnow","other","Shutdown, Elizabeth Warren, Happy New Year: Your Monday Evening Briefing",0.57,0.0,-100,0.29,1085
"2019-01-01","Warren","politics","politics","On Politics: Elizabeth Warren Is Running for President",0.0,0.0,0.0,0.0,419
"2019-01-02","Sanders","politics","politics","Sexism Claims From Bernie Sanders’s 2016 Run: Paid Less, Treated Worse",-0.43,-0.77,-0.77,-0.65,2177
"2019-01-03","Warren","oped","opinion","Elizabeth Warren Wants to Stop Inequality Before It Starts",-0.3,0.1,0.1,-0.03,1048
"2019-01-01","Warren","obits","other","Warren Wells, Star Receiver With a Derailed Career, Dies at 76",-0.1,-0.64,-0.64,-0.46,701
"2019-01-05","Warren","politics","politics","Elizabeth Warren Campaigns in Iowa: ‘This Is How It Starts’",0.0,0.0,0.0,0.0,829
"2019-01-07","Warren","politics","politics","With Elizabeth Warren Visit, Iowans Get the First Taste of 2020: ‘I’m Ready to Be Convinced’",0.36,0.38,0.38,0.37,1096
"2019-01-07","Warren","oped","opinion","Elizabeth Warren and Her Party of Ideas",0.4,0.67,0.67,0.58,841
"2019-01-10","Sanders","politics","politics","Bernie Sanders Apologizes Again to Women Who Were Mistreated in 2016 Campaign",0.36,-0.4,-0.4,-0.15,1058
"2019-01-15","Warren","express","other","Trump’s Use of Wounded Knee to Mock Elizabeth Warren Angers Native Americans",-0.73,-0.03,-0.03,-0.26,1169
"2019-01-14","Sanders","politics","politics","Bernie Sanders, Addressing Sexism Complaints, Will Meet With Former Staff Members",-0.4,-0.1,-0.1,-0.2,607
"2019-01-14","Biden","oped","opinion","Why Biden Should Run",0.0,0.42,0.42,0.28,457
"2019-01-16","Sanders","politics","politics","Sanders Meets With Former Staff Members, Seeking to Quell Anxiety Over Sexism",-0.18,-0.4,-0.4,-0.33,836
"2019-01-21","Biden","letters","other","Should Joe Biden Run for President?",0.0,0.34,0.34,0.23,276
"2019-01-23","Biden","politics","politics","Joe Biden’s Paid Speech Buoyed the G.O.P. in Midwest Battleground",-0.4,0.44,0.44,0.16,1763
"2019-01-23","Buttigieg","politics","politics","Pete Buttigieg, Mayor of South Bend, Ind., Joins Democratic 2020 Race",0.0,0.0,0.0,0.0,433
"2019-01-24","Warren","washington","politics","Warren’s Plan Is Latest Push by Democrats to Raise Taxes on the Rich",0.56,0.49,0.49,0.52,1033
"2019-01-25","Bloomberg","politics","politics","Bloomberg Rebukes Trump While Deflecting Criticism of His Own Centrist Views",-0.44,-0.15,-0.15,-0.25,569
"2019-01-28","Warren","oped","opinion","Elizabeth Warren Does Teddy Roosevelt",0.0,0.0,0.0,0.0,873
"2019-01-27","Warren","politics","politics","Elizabeth Warren’s 2020 Strategy: Stand Out by ‘Nerding Out’",0.0,0.59,0.59,0.39,1401
"2019-01-29","Bloomberg","politics","politics","Kamala Harris and Michael Bloomberg Clash on Medicare for All",0.0,0.54,0.54,0.36,468
"2019-01-31","Sanders","politics","politics","Sanders Unveils Estate Tax Plan, Joining Democrats Who Want to Tax the Rich",0.6,0.34,0.34,0.43,546
"2019-02-01","Warren","politics","politics","Elizabeth Warren Apologizes to Cherokee Nation for DNA Test",0.36,-0.32,-0.32,-0.09,1047
"2019-02-05","Warren","politics","politics","Elizabeth Warren Disclosure Forms Show $300,000 Book Advance, Other Assets",0.18,0.78,0.78,0.58,530
"2019-02-04","Sanders","oped","opinion","Schumer and Sanders: Limit Corporate Stock Buybacks",0.0,0.13,0.13,0.09,1079
"2019-02-07","Biden","oped","opinion","The Biden Fallacy",0.0,0.77,0.77,0.51,1119
"2019-02-09","Sanders","politics","politics","Sanders and O’Rourke Are Way Ahead in Race for Small-Dollar Donors",0.0,0.36,0.36,0.24,1850
"2019-02-09","Warren","national","politics","Elizabeth Warren Formally Announces 2020 Presidential Bid in Lawrence, Mass.",0.0,-0.41,-0.41,-0.28,1260
"2019-02-10","Warren","politics","politics","‘He May Not Even Be a Free Person,’ Elizabeth Warren Says of Trump in 2020",-0.4,-0.36,-0.36,-0.37,559
"2019-02-11","Warren","express","other","Trump Mocks Warren With Apparent Reference to Trail of Tears, Which Killed Thousands",-0.86,-0.6,-0.6,-0.68,852
"2019-02-15","Warren","obits","other","Patricia Nell Warren, Novelist of Gay Romance, Dies at 82",0.56,0.56,0.56,0.56,1072
"2019-02-16","Warren","business","business","The Week in Business: Amazon Breaks Up With New York, and Warren Buffett Takes Stock",0.18,-0.54,-0.54,-0.3,927
"2019-02-17","Sanders","politics","politics","Bernie Sanders Stumbled With Black Voters in 2016. Can He Do Better in 2020?",0.44,-0.54,-0.54,-0.21,1713
"2019-02-19","Sanders","politics","politics","Bernie Sanders, Once the Progressive Outlier, Joins a Crowded Presidential Field",0.0,0.51,0.51,0.34,1892
"2019-02-19","Warren","politics","politics","Elizabeth Warren Proposes Universal Child Care",0.49,0.82,0.82,0.71,690
"2019-02-19","Sanders","politics","politics","On Politics: Bernie Sanders Announces 2020 Bid",0.0,0.4,0.4,0.27,425
"2019-02-18","Warren","politics","politics","Elizabeth Warren’s Native American Ancestry Draws a Shrug From These Voters",0.0,-0.2,-0.2,-0.13,1342
"2019-02-20","Sanders","culture","other","Jimmy Fallon Gets in Costume to Roast Bernie Sanders",0.0,0.42,0.42,0.28,649
"2019-02-19","Sanders","u.s. / politics","politics","How Bernie Sanders Has Gone After Donald Trump",0.0,0.0,0.0,0.0,217
"2019-02-20","Sanders","u.s. / politics","politics","Bernie Sanders Set the Agenda. But Can He Win on It?",0.74,0.0,0.0,0.25,368
"2019-02-19","Sanders","express","other","Bernie Sanders on the Issues: Where He Stands and What Could Derail Him",-0.3,0.0,0.0,-0.1,952
"2019-02-20","Sanders","nytnow","other","President Trump, Karl Lagerfeld, Bernie Sanders: Your Wednesday Briefing",0.0,0.4,0.4,0.27,1354
"2019-02-21","Sanders","oped","opinion","Sanders Has an Advantage, and It’s Not About Economics",0.25,0.25,0.25,0.25,1033
"2019-02-23","Warren","business","business","Kraft Heinz, the U.S. Budget, and Big Stock Losses Feature in Warren Buffett’s Letter",-0.4,-0.56,-0.56,-0.51,1570
"2019-02-25","Sanders","politics","politics","Bernie Sanders Raises $10 Million in Less Than a Week",0.0,0.0,0.0,0.0,1194
"2019-02-25","Warren","politics","politics","Elizabeth Warren to Forgo Receptions and Fund-Raisers With Big Donors",0.0,0.44,0.44,0.29,483
"2019-02-26","Sanders","politics","politics","Architects of Bernie Sanders’s 2016 Race Part Ways With 2020 Campaign",0.0,0.0,0.0,0.0,791
"2019-02-27","Biden","politics","politics","Biden’s Family Is Urging Him to Run in 2020",0.0,0.59,0.59,0.39,745
"2019-03-03","Biden","letters","other","Joe Biden: Heed Beau’s Advice and Run",0.0,0.45,0.0,0.15,110
"2019-03-02","Sanders","politics","politics","Bernie Sanders Begins 2020 Race With Some Familiar Themes and a New One: Himself",0.0,0.2,0.0,0.07,1027
"2019-03-05","Bloomberg","politics","politics","Michael Bloomberg Will Not Run for President in 2020",0.0,-0.34,0.71,0.12,1528
"2019-03-06","Bloomberg","oped","opinion","In Praise of Bloomberg",0.56,0.0,0.0,0.19,717
"2019-03-07","Biden","nytnow","other","Kashmir, China, Joe Biden: Your Friday Briefing",0.0,0.4,0.0,0.13,1352
"2019-03-07","Biden","politics","politics","Joe Biden’s 2020 Plan Is Almost Complete. Democrats Are Impatient.",-0.3,0.26,0.46,0.14,1778
"2019-03-09","Sanders","politics","politics","Bernie Sanders-Style Politics Are Defining 2020 Race, Unnerving Moderates",0.0,0.03,0.3,0.11,1864
"2019-03-08","Warren","politics","politics","Elizabeth Warren Proposes Breaking Up Tech Giants Like Amazon and Facebook",0.49,-0.3,0.44,0.21,1444
"2019-03-11","Biden","oped","opinion","The Trouble With Biden",-0.4,-0.64,0.71,-0.11,1209
"2019-03-13","Warren","oped","opinion","One-on-One With Elizabeth Warren",0.0,0.13,0.0,0.04,818
"2019-03-12","Biden","oped","opinion","The Biden Paradox, and How to Solve It",0.1,0.79,0.49,0.46,948
"2019-03-12","Biden","politics","politics","Biden Signals He Is Close to 2020 Run for President",0.0,0.36,0.0,0.12,892
"2019-03-15","Warren","oped","opinion","Elizabeth Warren Actually Wants to Fix Capitalism",0.0,0.0,0.72,0.24,1662
"2019-03-14","Sanders","investigative","other","Sanders Institute Suspends Operations as Senator Runs for President",0.0,0.0,-0.32,-0.11,533
"2019-03-15","Sanders","politics","politics","Bernie Sanders’s Campaign Work Force Will Be Unionized",0.0,0.0,0.0,0.0,345
"2019-03-16","Sanders","politics","politics","Beto O’Rourke Is 46. Bernie Sanders Is 77. Does Age Matter Anymore for Democrats?",0.03,0.48,0.0,0.17,1822
"2019-03-19","Warren","politics","politics","Elizabeth Warren Calls for Ending Electoral College",0.0,-0.48,0.46,-0.01,425
"2019-03-21","Biden","politics","politics","Joe Biden Weighing Unique Steps to Reassure Voters Concerned About His Age",0.34,0.0,0.34,0.23,1606
"2019-03-22","Biden","culture","other","Seth Meyers Would Appreciate Joe Biden’s Announcing His Candidacy Already",0.4,0.4,0.95,0.59,566
"2019-03-25","Buttigieg","metro","other","New York Buzzes Over a Mayor Mulling a 2020 Bid (Buttigieg, Not de Blasio)",0.0,0.0,0.0,0.0,1086
"2019-03-27","Biden","politics","politics","Joe Biden Says He Regrets Role in Anita Hill Hearing",-0.36,0.62,-0.44,-0.06,439
"2019-03-28","Buttigieg","politics","politics","The Buttigieg Boomlet",0.0,0.19,0.46,0.22,1107
"2019-03-28","Buttigieg","politics","politics","Pete Buttigieg (It’s ‘Boot-Edge-Edge’) Is Making Waves in the 2020 Race",0.0,0.08,-0.64,-0.19,1397
"2019-03-29","Biden","politics","politics","When Joe Biden Voted to Let States Overturn Roe v. Wade",0.0,0.23,-0.61,-0.13,2150
"2019-03-29","Sanders","politics","politics","Bernie Sanders Says ‘No’ to Incrementalism, Highlighting Divide Among Democrats",0.0,0.78,0.8,0.53,1036
"2019-03-31","Biden","politics","politics","Who Is Lucy Flores, the Woman Accusing Joe Biden of Kissing Her?",0.46,-0.32,0.57,0.24,744
"2019-03-31","Biden","politics","politics","Joe Biden Scrambles to Stem Crisis After Lucy Flores’s Allegation",-0.62,0.18,0.4,-0.02,1802
"2019-03-30","Biden","politics","politics","Joe Biden Says He Did Not Act Inappropriately with Lucy Flores",0.0,0.36,0.06,0.14,1514
"2019-03-31","Warren","politics","politics","Elizabeth Warren Loses Finance Director as She Struggles in Early Fund-raising",-0.59,-0.33,0.29,-0.21,1879
"2019-04-01","Biden","politics","politics","On Politics: Biden Accused of Inappropriate Touching",-0.3,0.38,0.44,0.18,426
"2019-04-03","Biden","nytnow","other","Rupert Murdoch, Joe Biden, Mozambique: Your Wednesday Evening Briefing",0.0,0.0,0.0,0.0,1086
"2019-04-03","Biden","oped","opinion","The Joe Biden Media Frenzy",-0.32,-0.4,0.0,-0.24,1577
"2019-04-02","Biden","oped","opinion","The Real Joe Biden Decision",0.0,0.55,0.59,0.38,1022
"2019-04-01","Biden","politics","politics","A Second Woman Says Biden’s Touching Made Her Uncomfortable",-0.38,0.0,-0.59,-0.32,1040
"2019-04-02","Biden","oped","opinion","The Wrong Time for Joe Biden",-0.48,0.0,-0.76,-0.41,980
"2019-04-02","Biden","nytnow","other","Health Care, Brexit, Joe Biden: Your Tuesday Evening Briefing",0.49,0.0,0.0,0.16,1116
"2019-04-01","Biden","nytnow","other","Joe Biden, Turkey, Nipsey Hussle: Your Monday Briefing",0.0,0.0,0.0,0.0,1361
"2019-04-01","Biden","politics","politics","Joe Biden in the Modern Age",0.0,0.46,0.46,0.31,1113
"2019-04-04","Biden","science","other","Beyond Biden: How Close Is Too Close?",0.0,-0.52,0.36,-0.05,1227
"2019-04-05","Biden","oped","opinion","Biden, Honorable Patriot, Should Side With Restraint",0.54,-0.49,0.48,0.18,905
"2019-04-05","Biden","politics","politics","Joe Biden Jokes About Hugging in a Speech, Then Offers a Mixed Apology",0.61,0.71,-0.62,0.23,1451
"2019-04-04","Biden","politics","politics","How Joe Biden’s Touching Resonated With Readers",0.0,0.03,0.46,0.16,1445
"2019-04-05","Biden","washington","politics","Finding Biden in Familiar Fix, President Trump Adds a Jab",0.0,-0.54,-0.79,-0.44,1200
"2019-04-05","Biden","politics","politics","On Politics: Trump Goes After Biden",0.0,-0.56,0.44,-0.04,447
"2019-04-04","Biden","newsdesk","other","Joe Biden Is of an Older Generation. Does It Matter?",0.03,0.0,0.03,0.02,939
"2019-04-04","Biden","oped","opinion","Should Biden Run?",0.0,-0.42,0.0,-0.14,829
"2019-04-03","Biden","politics","politics","Joe Biden, in Video, Says He Will Be ‘More Mindful’ of Personal Space",0.0,-0.78,-0.67,-0.48,1160
"2019-04-04","Biden","oped","opinion","The Biden Sort-Of Lovefest",0.0,0.08,0.83,0.3,917
"2019-04-05","Biden","gender","other","Critics to Joe Biden: You’re Missing the Point",-0.53,0.0,0.0,-0.18,1039
"2019-04-07","Biden","culture","other","‘S.N.L.’ and Kit Harington Spoof Biden and ‘Game of Thrones’",0.0,0.34,0.42,0.25,1276
"2019-04-06","Biden","editorial","opinion","Meet the Man Behind Trump’s Biden Tweet",0.0,0.0,0.7,0.23,1314
"2019-04-10","Biden","culture","other","Jimmy Fallon Grapples With the Awkwardness of Joe Biden’s Candidacy",-0.18,-0.23,0.95,0.18,646
"2019-04-10","Warren","politics","politics","Elizabeth Warren’s 2020 Campaign Says It Raised $6 Million",0.0,0.59,-0.83,-0.08,1270
"2019-04-11","Biden","politics","politics","Biden, Despite Troubles, Tops Democratic Contenders in Poll of Iowa Voters",-0.06,0.4,0.15,0.17,442
"2019-04-09","Sanders","washington","politics","Bernie Sanders, Now a Millionaire, Pledges to Release Tax Returns by Monday",0.0,0.0,0.0,0.0,516
"2019-04-10","Buttigieg","politics","politics","Pete Buttigieg, Gay and Christian, Challenges Religious Right on Their Own Turf",0.08,0.15,0.71,0.31,1574
"2019-04-10","Sanders","washington","politics","Medicare for All and Beyond, Sanders Uses the Senate as His Launching Pad",0.0,-0.2,-0.38,-0.19,1512
"2019-04-15","Sanders","politics","politics","Trump and Sanders Campaigns Lead 2020 Fund-Raising Race",0.0,0.0,0.44,0.15,369
"2019-04-14","Buttigieg","politics","politics","Pete Buttigieg’s Focus: Storytelling First. Policy Details Later.",0.0,0.0,-0.15,-0.05,1645
"2019-04-15","Sanders","politics","politics","Bernie Sanders Released His Tax Returns. He’s Part of the 1%.",0.0,0.0,0.0,0.0,928
"2019-04-14","Buttigieg","politics","politics","Pete Buttigieg Announces Official Start to 2020 Campaign",0.0,-0.6,-0.1,-0.23,906
"2019-04-16","Biden","politics","politics","Biden, at Hollings Funeral, Talks About How ‘People Can Change’",-0.36,0.89,0.62,0.38,1133
"2019-04-15","Warren","politics","politics","Elizabeth Warren Proposes Broad Plan to Protect Public Lands",0.38,0.0,0.0,0.13,594
"2019-04-16","Sanders","washington","politics","The Rematch: Bernie Sanders vs. a Clinton Loyalist",0.36,0.27,-0.54,0.03,1737
"2019-04-15","Buttigieg","politics","politics","Pete Buttigieg’s Campaign Kickoff: Full Speech, Annotated",0.0,0.38,0.2,0.19,4430
"2019-04-16","Sanders","politics","politics","‘Stop Sanders’ Democrats Are Agonizing Over His Momentum",-0.57,0.61,0.25,0.1,1866
"2019-04-16","Sanders","politics","politics","Bernie Sanders, at Fox News Town Hall, Says His Wealth Isn’t the ‘American Dream’",0.49,-0.51,-0.51,-0.18,636
"2019-04-17","Sanders","culture","other","Kimmel Suggests Bernie Sanders’s Cash-Heavy Campaign Could Spend a Bit on ‘Personal Grooming’",0.0,0.56,0.95,0.5,638
"2019-04-18","Sanders","oped","opinion","Bernie Sanders and the Myth of the 1 Percent",0.0,0.82,0.54,0.45,912
"2019-04-19","Sanders","washington","politics","Sanders’s ‘Slip of the Tongue’ Would Be a Problem in Some White Houses. Not Trump’s.",-0.4,-0.49,0.4,-0.16,1179
"2019-04-19","Biden","politics","politics","Joe Biden Begins Taking Money for a 2020 Presidential Campaign",0.0,0.0,0.44,0.15,705
"2019-04-19","Warren","obits","other","Lorraine Warren, Paranormal Investigator Portrayed in ‘The Conjuring,’ Dies at 92",0.0,0.0,-0.3,-0.1,823
"2019-04-19","Buttigieg","politics","politics","Pete Buttigieg Fired South Bend’s Black Police Chief. It Still Stings.",-0.56,-0.62,-0.62,-0.6,2596
"2019-04-19","Warren","politics","politics","Elizabeth Warren Calls for Impeachment Process Against Trump",0.0,0.13,0.48,0.2,536
"2019-04-19","Sanders","letters","other","The Democrats’ ‘Stop Sanders’ Movement",0.0,-0.48,0.0,-0.16,350
"2019-04-19","Warren","obits","other","Warren Adler, ‘The War of the Roses’ Author, Is Dead at 91",-0.85,0.89,-0.72,-0.23,982
"2019-04-22","Warren","business","business","Elizabeth Warren Wants to Make It Easier to Prosecute Executives",0.03,0.64,0.0,0.22,878
"2019-04-23","Sanders","letters","other","Sarah Huckabee Sanders’s Lies About Lying",-0.74,0.23,0.0,-0.17,167
"2019-04-23","Biden","politics","politics","Joe Biden Plans to Enter the 2020 Race on Thursday. He’s Starting With $0.",0.0,-0.12,0.36,0.08,1487
"2019-04-22","Warren","politics","politics","Elizabeth Warren’s Higher Education Plan: Cancel Student Debt and Eliminate Tuition",-0.54,0.0,-0.62,-0.39,1082
"2019-04-22","Biden","politics","politics","Joe Biden Plans to Close Foundation When He Enters 2020 Race",0.0,-0.3,0.42,0.04,704
"2019-04-25","Biden","politics","politics","Biden on the Issues: Where He Stands and How He’s Changed",0.0,0.0,0.68,0.23,1094
"2019-04-25","Biden","letters","other","Cheers and Fears as Joe Biden Joins the Race",0.08,0.03,0.0,0.03,433
"2019-04-24","Buttigieg","politics","politics","Pete Buttigieg and Beto O’Rourke Stake Out Similar Turf in a Crowded Field",0.0,0.0,0.0,0.0,1544
"2019-04-25","Biden","politics","politics","Joe Biden Announces 2020 Run for President, After Months of Hesitation",-0.27,0.32,-0.6,-0.18,2030
"2019-04-25","Biden","oped","opinion","Biden Joins the Really Big Crowd",0.0,0.42,0.0,0.14,922
"2019-04-25","Biden","politics","politics","5 Questions That Will Determine if Joe Biden Can Succeed",0.49,-0.32,0.54,0.24,1399
"2019-04-25","Biden","washington","politics","Joe Biden Expresses Regret to Anita Hill, but She Says ‘I’m Sorry’ Is Not Enough",-0.23,0.15,0.62,0.18,2016
"2019-04-24","Buttigieg","magazine","other","How Pete Buttigieg’s Meaningless Erudition Made Him the ‘Smart’ Candidate",-0.44,0.89,0.84,0.43,1303
"2019-04-25","Biden","nytnow","other","Joe Biden, Facebook, N.F.L. Draft: Your Thursday Briefing",0.0,0.0,0.0,0.0,1381
"2019-04-25","Biden","politics","politics","On Politics: Biden Enters 2020 Race",0.0,0.0,0.44,0.15,510
"2019-04-25","Biden","politics","politics","Joe Biden’s Campaign Announcement Video, Annotated",0.0,0.0,-0.1,-0.03,911
"2019-04-24","Sanders","oped","opinion","Bernie Sanders Scares a Lot of People, and Quite a Few of Them Are Democrats",-0.34,0.0,0.0,-0.11,2981
"2019-04-25","Biden","upshot","opinion","How Does Joe Biden Fit Into a Changing Democratic Party?",0.64,0.18,0.0,0.27,992
"2019-04-25","Biden","politics","politics","Biden’s Campaign Will Test These 4 Ideas",0.0,0.67,0.65,0.44,1310
"2019-04-26","Biden","arts&leisure","other","Joe Biden’s Run Has Late Night Looking for a Fight",-0.38,0.68,0.95,0.42,790
"2019-04-26","Biden","politics","politics","Joe Biden Called Anita Hill After Prodding. But He’s Still Not Apologizing.",0.09,-0.2,-0.6,-0.24,1893
"2019-04-26","Biden","politics","politics","Recap and Analysis: Joe Biden’s Visit to ‘The View’",0.0,-0.44,0.44,0.0,1753
"2019-04-27","Sanders","politics","politics","Bernie Sanders Opens Space for Debate on Voting Rights for Incarcerated People",0.0,0.38,-0.03,0.12,1214
"2019-04-26","Biden","nytnow","other","Sri Lanka, Notre-Dame, Joe Biden: Your Friday Briefing",0.0,0.0,0.0,0.0,1481
"2019-04-26","Biden","politics","politics","Joe Biden Raises $6.3 Million, Topping Rivals’ First-Day Hauls",0.0,0.74,0.6,0.44,910
"2019-04-26","Buttigieg","politics","politics","Pete Buttigieg Swears Off the Lobbyist Money He Once Accepted",0.32,-0.3,-0.13,-0.04,335
"2019-04-26","Biden","letters","other","Joe Biden Reaches Out to Anita Hill",0.05,-0.49,0.0,-0.15,518
"2019-04-25","Biden","nytnow","other","ISIS, Joe Biden, Australia’s Feral Cats: Your Friday Briefing",0.0,0.0,0.0,0.0,1463
"2019-04-26","Biden","nytnow","other","Joe Biden, N.F.L. Draft, ‘Avengers: Endgame’: Your Friday Briefing",0.0,0.0,0.0,0.0,1394
"2019-04-26","Biden","summary","other","Quotation of the Day: Biden’s ‘Regret’ for Hill’s Pain Fails to Soothe",-0.56,0.0,-0.61,-0.39,62
"2019-04-27","Buttigieg","oped","opinion","Which Way, Pete Buttigieg?",0.0,0.1,0.67,0.26,911
"2019-04-29","Biden","nytnow","other","Sri Lanka, Spain Elections, Biden: Your Monday Briefing",0.0,0.4,0.0,0.13,1690
"2019-04-28","Biden","politics","politics","In Pennsylvania, Joe Biden Finds Support Where He Most Needs It",0.4,0.4,0.0,0.27,1859
"2019-04-29","Biden","oped","opinion","Joe Biden and the Apologies That Weren’t",0.0,-0.3,-0.95,-0.42,1092
"2019-04-29","Biden","politics","politics","Biden, Now the Front-Runner, Gives First Speech as 2020 Candidate",0.0,0.36,0.49,0.29,1317
"2019-04-30","Biden","politics","politics","In Scranton, College Students Give High Marks to Biden’s First Campaign Speech",0.0,-0.27,-0.4,-0.23,1221
"2019-04-30","Biden","politics","politics","What Joe Biden Has Said About Anita Hill Over the Years",0.0,0.53,0.23,0.25,1265
"2019-04-30","Warren","business","business","Warren Buffett Backs Occidental’s Bid for Anadarko With $10 Billion Investment",-0.05,0.4,0.21,0.19,796
"2019-04-30","Buttigieg","politics","politics","As Buttigieg Builds His Campaign, Gay Donors Provide the Foundation",0.0,0.47,0.08,0.18,1712
"2019-05-02","Biden","letters","other","Joe Biden and the Debate Over Apologies",0.0,0.0,0.0,0.0,364
"2019-05-01","Biden","washington","politics","Trump Lashes Out on Twitter Over Firefighters’ Support of Biden",0.4,0.32,0.42,0.38,820
"2019-05-01","Biden","arts&leisure","other","Jimmy Kimmel Predicts Biden Won’t Sell Many ‘MAMA’ Hats",0.0,-0.57,0.95,0.13,686
"2019-05-02","Biden","nytnow","other","William Barr, Joe Biden, India: Your Thursday Briefing",0.0,0.0,0.0,0.0,1294
"2019-05-01","Biden","politics","politics","As Biden Woos Labor, Trump Uses Twitter Barrage to Stake His Own Claim",0.0,-0.25,0.4,0.05,1426
"2019-05-02","Biden","summary","other","Quotation of the Day: As Biden Woos Unions, Trump Takes to Twitter to Stake His Own Claim",0.0,0.0,0.0,0.0,39
"2019-05-02","Biden","politics","politics","Voters Like Joe Biden. But Are They in Love?",0.82,0.06,0.46,0.45,1197
"2019-05-02","Biden","washington","politics","Biden Faces Conflict of Interest Questions That Are Being Promoted by Trump and Allies",0.54,0.34,0.46,0.45,2508
"2019-05-03","Biden","oped","opinion","Joe Biden and the Party of Davos",0.4,0.0,0.84,0.42,881
"2019-05-02","Warren","politics","politics","Elizabeth Warren’s Campaign, ‘Based on Ideas,’ Bets on Iowa",0.0,-0.24,0.0,-0.08,1509
"2019-05-01","Biden","oped","opinion","I Support Anita Hill, and Joe Biden, Too",0.4,-0.69,-0.84,-0.37,748
"2019-05-04","Biden","politics","politics","Biden Thinks Trump Is the Problem, Not All Republicans. Other Democrats Disagree.",-0.65,0.25,0.0,-0.13,1683
"2019-05-04","Biden","politics","politics","Biden Makes First Campaign Appearance in South Carolina, Key Primary State",0.0,0.2,0.23,0.14,716
"2019-05-05","Warren","business","business","Warren Buffett’s Case for Capitalism",0.0,0.0,0.0,0.0,1037
"2019-05-06","Biden","politics","politics","Some Look at Joe Biden’s Campaign and See Hillary Clinton’s",0.0,-0.03,-0.3,-0.11,1731
"2019-05-06","Biden","oped","opinion","Is Biden Really the Most ‘Electable’ Democrat?",0.0,0.0,0.4,0.13,1015
"2019-05-07","Biden","politics","politics","Joe Biden Has Support From Older Black Voters. Is It Enough?",0.4,0.55,0.57,0.51,1596
"2019-05-08","Warren","politics","politics","Elizabeth Warren, Unveiling Opioid Plan, Says Sackler Name Should Come Off Harvard Buildings",0.0,0.0,-0.44,-0.15,513
"2019-05-11","Biden","politics","politics","Biden’s 2020 Rivals Attack Him From the Left on Climate Change",-0.48,-0.44,-0.44,-0.45,730
"2019-05-13","Biden","politics","politics","Joe Biden Defends Record on Climate and Calls for ‘Environmental Revolution’",0.0,-0.44,-0.44,-0.29,670
"2019-05-15","Biden","politics","politics","Joe Biden, Campaigning in New Hampshire, Straddles Past and Present",0.0,-0.01,-0.38,-0.13,1303
"2019-05-15","Warren","letters","other","Elizabeth Warren’s Snub of Fox News",-0.42,0.0,0.0,-0.14,146
"2019-05-14","Warren","politics","politics","Warren Calls Fox News a ‘Hate-for-Profit Racket’ and Refuses an Appearance",0.0,0.0,-0.42,-0.14,723
"2019-05-14","Biden","politics","politics","Alexandria Ocasio-Cortez and Joe Biden Spar Over Climate Policy in Intraparty Spat",0.0,-0.46,-0.68,-0.38,543
"2019-05-15","Biden","politics","politics","Trump Can’t Stop Attacking Biden. G.O.P. Strategists Wish He Would.",-0.36,0.55,-0.57,-0.13,1569
"2019-05-18","Sanders","express","other","Bernie Sanders’s Education Plan Laments Rise of Charter Schools",-0.36,0.0,0.0,-0.12,477
"2019-05-18","Biden","national","politics","Fact-Checking Joe Biden on the Campaign Trail",0.0,-0.51,0.0,-0.17,1462
